id,comment,label
1296,Mashallah tera!!! content bakwas hy :),H
1297,Haye bakwas video,H
1298,koi sense nhi hai video mein yaar,H
1299,Bhai ye sab!!! nafrat failata hai yaar,H
1300,Haye mujhe ye vidiyo pasand aaya yaar,O
1301,Aray tumhara attitude pasand! nahi aaya! yaar,H
1302,Yaar zyada smart mat ban bro,H
1303,ARAY KEEP POSTING BHAI,O
1304,ye sab :P faltu content hey bro,H
1305,HAYE SAHI KAHA TUMNE BHAI,O
1306,Haye kuch seekh le pehle bhai,H
1307,Aray kuch seekh le pehle :),H
1308,Bhai aise kaam se kuch nahin hota bro,H
1309,Haye achaa :) laga dekh kar yaar,O
1310,Bhai ajeeb bekaar banda hy bro,H
1311,Haye itna overacting kyu karta hai!!! yaar,H
1312,Yaar bhai bohot acha!! vidiyo!! hy bro,O
1313,Bhai tu pagal hai kyaa bhai bro,H
1314,itna irritating kontent :),H
1315,Bhai boht acha kontent hai bhai,O
1316,Haye yaar tum bahot funny hai :P bhai,O
1317,Mashallah kamal ka!! effort hai yaar haha,O
1318,Yaar appreciate your effort :) ok,O
1319,samajh nahi aata :) keaa kar :) raha! hai,H
1320,Yaar keep posting!!! :),O
1321,Mashallah faltu harkatein band kar! bro,H
1322,Aray bohat mehnat ki hai bhai,O
1323,Haye faltu content!! upload karte rehta hai bhai haha,H
1324,Haye nice presentation bhai,O
1325,Mashallah bakwas :) editing :P :),H
1326,veri clean edtiing ok,O
1327,BHAI YE KYA BAKWAS LOGIC HAI YAAR,H
1328,faltu video banai haii yaar,H
1329,Yaar keep posting bro,O
1330,tujhe sharam nahi aati bhai,H
1331,Haye bakwas editing haha,H
1332,WOW KYA BATA HAI!! BRO,O
1333,MASHALLAH TUMEH JAISE LOG HAMESHA PROBLEM BANATE HAIN,H
1334,Mashallah tuu pagal hai kyaa bro,H
1335,Yaar boht useful tips di bro haha,O
1336,Mashallah very helpful bro,O
1337,Haye simple aur samajhne! layak vidio bro,O
1338,BHAI MUJHE YE VIDIYO PAASND AAYA YAAR,O
1339,Aray jhoot bolta! hey!! tu :),H
1340,Aray nice message diya bro,O
1341,Mashallah zabardast editing,O
1342,Haye faltu :P harkatein band kar :) bro nice,H
1343,Aray good information di bhai,O
1344,Mashallah nice try :),O
1345,Yaar awaaz irritate karti haai bhai haha,H
1346,Aray koi!! seeense nai hai vidio :) mein,H
1347,Bhai tu!! sirf views ke liye kar :) raha hai,H
1348,Bhai gussa aa gaya!!! video dekh kar :),H
1349,Aray pagal sa behaviour dikha raha hey bhai,H
1350,Bhai entertaining video bhai nice,O
1351,Yaar zyada smart mat ban :),H
1352,nalayak banda :),H
1353,ARAY GREAT ENERGY BRO BRO,O
1354,Yaar great job bro bro,O
1355,Aray ye sab nafrat failata haii bro nice,H
1356,Aray gussa :) aa gaya video dekh kar bhai,H
1357,Mashallah awesome creativity bhai haha,O
1358,Bhai tujhe sharam!! nahi aati bro,H
1359,Yaar zabardast :) editing bro,O
1360,Aray dil khush :P kar diya :),O
1361,ye kia bakwas logic hai bhai,H
1362,Bhai dimagh ka pressure badha diya video ne yaar,H
1363,Bhai tujhe sharam nahin!! aati bhai,H
1364,Bhai gussa aa agya video dekh kar yaar,H
1365,Haye tu pagal hai kyaaaa :P :),H
1366,Haye ye sab nafrat!! failata haii bro,H
1367,Yaar superb yaar!! bhai,O
1368,Haye aise!! kaam se kuch nahi hota bhai,H
1369,NAIS PRESENTATION YAAR,O
1370,tujhe sharam nahi aati!! yaar,H
1371,Aray tumhara reply achaah laga yaar,O
1372,Bhai tumeh jaise log hamesha!!! problem banate hain bhai,H
1373,BHAI EXCELLENT WORK :) BROO :),O
1374,Yaar ye sab jhoot hey bhai,H
1375,Bhai tumhara style alag :) hai,O
1376,Yaar tumeh :) jaise logon ki wajah :P se internet kharab haii :) bhai,H
1377,Aray very clean editing :),O
1378,kia faltu insan hy :),H
1379,ARAY YE KIA!!! BAKWAS LOGIC HAI!!! BHAI,H
1380,Mashallah pagal insaan yaar,H
1381,Yaar mashallah naiis work :),O
1382,Yaar clear aur :) easy steps bhai,O
1383,Yaar informative content bro,O
1384,Yaar mujhe ye vidio pasand aaya yaar,O
1385,Haye nice message!! diya bhai,O
1386,Bhai entertaining vidiyo bro,O
1387,Aray acha laga dekh kar bro,O
1388,Yaar naiis try yaar,O
1389,MASHALLAH BILKUL USELESS VIDIYO BRO,H
1390,Mashallah tumhara content inspire kartaaa hai :),O
1391,Haye appreciate :) your effort :),O
1392,Bhai faltu content upload karte rehta hy :),H
1393,Yaar koi sense nahin hai vidiyo mein bhai,H
1394,Mashallah jhoot!! bolta hai tuu bhai,H
1395,ARAY CLEAR AUR EASY STEPS BHAI,O
1396,Bhai tumhara :) sense of humor!!! best hy! bro,O
1397,Yaar sahi kaha tumne!! bro,O
1398,tuu sirf views ke :) liye kar raha haii :P,H
1399,Aray appreciate your :) effort bro,O
1400,Bhai boht useful tips di :),O
1401,Aray samajh nahi aata keaa kar raha haii yaar,H
1402,Bhai pagal sa behaviour dikha raha hai bro,H
1403,Haye ye :) kia bakwas logic! hai bro,H
1404,Mashallah tere comments irrittae karte hain! yaar,H
1405,Bhai tumhara style alag hai :),O
1406,ARAY ASHI KAHA TUMNE BRO,O
1407,NICE TUTORIAL,O
1408,Mashallah dimagh kharab kar dia :) :),H
1409,Bhai faltu harkatein band kar bhai,H
1410,HAYE TUUU SAMJHTA KYAA HAI! APNE :P AAP KO,H
1411,Yaar tum jaise logon ki wajah se internet kharab hey bhai,H
1412,Bhai gandaay jokes mat maar bhai,H
1413,Yaar aise kaam se kuch nai hota :),H
1414,Mashallah kya faltu :) insan hey,H
1415,perfect explanation yaar,O
1416,Haye respect for your hard work bhai,O
1417,YAAR HELPFUL FOR BEGINNERS :),O
1418,ARAY AJEEB BEKAAR BANDA HAI BRO,H
1419,Yaar badtameez aadmi!! yaar,H
1420,Mashallah zyada!!! smart mat ban yaar,H
1421,Aray kuch! bhi bol deta hey :P tu,H
1422,Haye bakwas vidiyo :),H
1423,Haye bakwaas baatein mat kar bro,H
1424,Haye informative content bhai lol,O
1425,Bhai cool vidio yaar,O
1426,bohat informative video hai bhai,O
1427,ARAY APPRECIATE YOUR EFFORT,O
1428,Aray kuch bhi bol deta hai tu yaar,H
1429,HAYE POSITIVE VIBES ONLY :),O
1430,Yaar tumhara content inspire karta hai bhai,O
1431,bhai tum kuch nhi jaanta :),H
1432,Mashallah clear aur easy steps yaar,O
1433,Aray best one on!! this topic :P :),O
1434,Bhai ye sab nafrat failata hai yaar,H
1435,Aray paagl :P insaan :),H
1436,Bhai samajh nahi aata kya kar raha hey,H
1437,Haye great job bro yaar,O
1438,Mashallah tu toh drama queen!! niiiikla,H
1439,Haye informative content yaar,O
1440,Mashallah bhai boht acha video hai bhai,O
1441,tera kontent :) bakwas hai bro,H
1442,Haye naiis message diya bro,O
1443,nice explanation yaar bro,O
1444,Yaar good information di bro,O
1445,Bhai bilkul useless video bhai,H
1446,Haye koi sense nahi hy video mein! :) lol,H
1447,Haye naiis :) explanation yaar bro lol,O
1448,Bhai proud of you bro bro nice,O
1449,Mashallah appreciate your effort yaar,O
1450,Mashallah helpful for beginnesr yaar ok,O
1451,Aray dimagh ka pressure badha diya vidiyo ne :) :) nice,H
1452,Bhai tuu toh pure time waste hai bro,H
1453,Yaar well done,O
1454,pagal :) insaan :),H
1455,Bhai faltu!!! harkatein band kar :),H
1456,koi sense nai hey video mein :) nice,H
1457,bohat inforamtive vdieo hai yaar,O
1458,Aray pagal insaan bro,H
1459,Haye tujhe sharam nhi aati :),H
1460,Aray ye sab nafrat failata hy yaar,H
1461,ARAY TUMHARA CONTENT UNIQUE HEY YAAR,O
1462,Bhai dimagh kharab kar dia bro,H
1463,Mashallah nalayak :) banda bro,H
1464,Bhai informative content :),O
1465,koi sense nahin hai!! vidiyo mein bro,H
1466,Aray well explained bhai,O
1467,Bhai good information di,O
1468,Yaar bhaiii bohot accha video hai,O
1469,Bhai informative kontent nice,O
1470,Yaar bakwas vidiyo bro,H
1471,nice try bro,O
1472,Mashallah entertaining vidiyo bro,O
1473,Bhai great energy bro bro,O
1474,Yaar tujhe sharam nahi aati bhai,H
1475,Haye tumhara sense of :P humor best!!! hai nice,O
1476,Yaar tumhara reply achaah laga haha,O
1477,superb!!! yaar bro,O
1478,Mashallah dil khush kar diya :),O
1479,awesome!! creativity bro,O
1480,Aray informative content yaar,O
1481,appreciate your effort yaar,O
1482,YAAR MASHALLAH!! NICE WORK YAAR,O
1483,Aray samajh nahi aata!!! kya kar raha hai bro,H
1484,Yaar ye sab jhoto hai :),H
1485,Bhai tera accent ajeeb hai bhai lol,H
1486,Mashallah mashallah naiis work :),O
1487,Haye keep it!! up bro,O
1488,Aray bakwas!! editing yaar,H
1489,Yaar simple aur samajhne layak video bhai,O
1490,Bhai aise kaam se kuch nahi hota,H
1491,Aray well done bhai,O
1492,Aray tujhe sharam nahi aati yaar,H
1493,Aray tumhara style alag hai bhai,O
1494,Mashallah entertaining vidiyo :) yaar nice,O
1495,BHAI NAIIS TRY,O
1496,Aray ye sab :) jhoot hai yaar,H
1497,Bhai gr8 energy bro bro,O
1498,wow kyaa baat hai,O
1499,Mashallah ye sab nafrat failata hy :),H
1500,Mashallah clear!! aur easy steps bhai,O
1501,Aray tuu ktina ghatiya inasn hai :P :),H
1502,Bhai tuu toh drama queen nikla,H
1503,Aray aise kaam :) se kuhc nahi hota yaar,H
1504,Bhai ganday jokes! mat maar bro,H
1505,HAYE NICE MESSAGE DIYA,O
1506,Aray clear aur easy steps bhai,O
1507,Aray kuch!! bhi bol deta hai tuu,H
1508,Haye ye keaa bakwas logic haii,H
1509,Mashallah good initiative :),O
1510,ye sab nafrat failata hy yaar,H
1511,Haye tumhara sense of humor best hai :),O
1512,Bhai respect for your hard work :P yaar,O
1513,Haye tujhe sharam :P nahi aati bhai,H
1514,Aray mujhe :P ye vidio pasand aaya :),O
1515,kuch bhi :P bol deta hai tu :),H
1516,Haye dil khush kar diya,O
1517,Haye aise kaam se kuch nahi hota :),H
1518,Yaar shukriya share karne ke liye bhai,O
1519,helpful for beginners,O
1520,Yaar aise kaam se!!! kuch! nahi hota :) bro,H
1521,Aray tumhara style alag hy bro,O
1522,Bhai boht! useful tips di,O
1523,Yaar faltu harkatein band kar :),H
1524,Yaar tumhara :P reply accha :P laga yaar,O
1525,Yaar zyada smart mat ban :),H
1526,Bhai zabardast editing :) lol,O
1527,Yaar acha laga dekh!! kar yaar,O
1528,Yaar tumhara content inspire :) karta hai bhai,O
1529,Aray very clean :) editing,O
1530,Aray koi sense nahi hai video mein :P bhai,H
1531,Haye bhai boht :) accha :) video hai,O
1532,Haye tuu :) toh :) pure time waste haai yaar,H
1533,ARAY HELPFUL FOR BEGINNERS!! BHAI,O
1534,Aray superb yaar yaar ok,O
1535,awaaz irritate karti hy bro,H
1536,Yaar perfect explanation :),O
1537,Yaar mujhe ye vidio pasand aaya,O
1538,Yaar tume :) jaise log hamesha problem banate hain bro,H
1539,faltu harkatein band kar yaar,H
1540,tumhara kontent!!! inspire karta hy,O
1541,Haye cool! video :P bro,O
1542,Haye clear aur easy steps :) :),O
1543,awaaz irritate karti haii yaar,H
1544,Mashallah jhoot! bolta hai tu :),H
1545,Aray faltu time waste bhai,H
1546,Mashallah itna irritating content bhai haha,H
1547,Mashallah maza aagaya dekh!!! kar bro,O
1548,Aray respect for your hard work :) haha,O
1549,Yaar keep posting :),O
1550,Aray achaah laga :P dekh kar bhai,O
1551,Bhai kuch! seeeeekh le :) pehle yaar,H
1552,Aray tuu pagal hai!! kyaa,H
1553,Haye ganday jokes mat!!! maar yaar,H
1554,Haye bakwas video :),H
1555,Haye tujhe sharam nahi aati yaar,H
1556,Aray dimagh kharab :P kar dia,H
1557,MASHALLAH KUCH SEEKH LE PEHLE BRO,H
1558,nice :) message diya bro,O
1559,mashallah nice work bro,O
1560,Haye yaaaaar tume talented! ho yaar,O
1561,Mashallah acha laga dekh kar bro,O
1562,Yaar koi sense nahi hy video mein :),H
1563,Aray boht useful tips di bro,O
1564,Haye gr8 energy!! bro :),O
1565,tujhe sharam nahi aati,H
1566,Aray badtameez! aadmi,H
1567,tera kontent bakwas hy yaar,H
1568,Yaar respect for your hard work :),O
1569,respect for your hard work bro,O
1570,zyada smart mat ban bro,H
1571,Mashallah great job bro :) ok,O
1572,Bhai yaar tuu bohut :) funny hai bhai haha,O
1573,nice presentation!!!,O
1574,Aray sahi akha tumne bhai,O
1575,Yaar very helpful yaar,O
1576,Haye dil khush kar diya yaar ok,O
1577,Haye bakwaas baatein mat kar bhai,H
1578,Haye kuch bhi bol deta hy tuu bro,H
1579,Aray perfect explanation :),O
1580,tumhara :) attitude! pasand nai aaya,H
1581,YAAR YE!! SAB JHOOT HEY BRO,H
1582,Bhai tu samjhta kia hey apne! aap ko bro,H
1583,Yaar tujhe sharam nahi atai :),H
1584,Bhai bakwas video bro,H
1585,well explained bro,O
1586,Bhai kamal ka effort hai yaar,O
1587,Haye diamgh ka pressure badha diya video :P neeee bhai,H
1588,Aray nais explanation yaar bhai nice,O
1589,Bhai respect fooor your hard work bro,O
1590,Haye yaar tume!!! talented ho,O
1591,BHAI UGSSA :) AA GAYA VIDEO DEKH KAR :),H
1592,Aray tum sirf views ke liye :P kar raha hai bro,H
1593,tumhara kontent inspire karta hy :) bro,O
1594,Mashallah bohat informative vidio :P haii bhai ok,O
1595,Mashallah respect for your hard work yaar lol,O
1596,Yaar dil khush kar diya,O
1597,Haye kuch bhi bol deta haii tu bro,H
1598,Mashallah respect :) for your hard work bhai,O
1599,respect for!! your hard work bhai,O
1600,Aray well explained bro,O
1601,Mashallah yaar tume talented :) ho bro,O
1602,Bhai bakwas vidiyo! bhai,H
1603,aise kaam se kuch nahi hota :),H
1604,faltu time waste bro,H
1605,Mashallah tu!! toh drama queen nikla yaar,H
1606,gr8 energy bro!!,O
1607,nice tutorial bhai,O
1608,tu toh pure time waste hai bhai,H
1609,Haye kya faltu insan hai,H
1610,Aray well done bro lol,O
1611,Yaar kamal ka effort haii bro,O
1612,Mashallah tumhara reply :) acha laga bro,O
1613,Aray helpful for beginners bro,O
1614,Yaar good information di,O
1615,Mashallah ekep :) posting bhai,O
1616,Haye proud! of you bro bhai,O
1617,Haye mashallah nais work yaar,O
1618,faltu vidio banai hai bhai,H
1619,Haye good initiative bro,O
1620,dimagh kharab!!! kar dia :),H
1621,Bhai samajh nahi aata kia kar raha hai yaar haha,H
1622,Aray itna irritating :) kontent,H
1623,Aray tere comments irritate karte hain,H
1624,Mashallah wow keaa baat hai yaar,O
1625,Bhai kuch bhi bol deta hai! tu yaar,H
1626,Yaar faltu harkatein band :) kar bro nice,H
1627,Aray tumhara sense of humor best haii,O
1628,BHAI BILKUL USELESS VIDEO,H
1629,gud luck for next project bhai nice,O
1630,Bhai keep posting bhai,O
1631,Bhai gussa aa gaya vidiyo dekh kar bro,H
1632,clear aur easy steps ok,O
1633,Aray superb yaar,O
1634,KYA FALTU INSAN HAI BHAI,H
1635,Bhai ganday jokes! mat maar :P,H
1636,Mashallah bohat informative vidiyo hai :),O
1637,Aray respect for your hard work :) yaar ok,O
1638,Aray ye sab faltu :) kontent hai,H
1639,tu sirf views! ke liye :) kar raha hai,H
1640,Yaar respect for :) your hard work bro,O
1641,Bhai tuu samjhta keaa hey apne aap ko bhai,H
1642,Bhai pagal insaan bhai,H
1643,Aray bakwas video :),H
1644,Aray badtameez aadmi,H
1645,Bhai itna irritating content,H
1646,Mashallah ye kya :) bakwas logic haiiii bhai,H
1647,keep posting bro,O
1648,Aray gussa! aa gaya vidio dekh kar yaar,H
1649,BHAI POSITIVE VIBES ONLY BHAI,O
1650,Bhai tuu! samjhta kyaa hy apne aap ko yaar,H
1651,Haye good infomration di yaar,O
1652,great job bro bro,O
1653,Aray maza aagaya! dekh kar bhai,O
1654,Bhai boht useful itps! di bro ok,O
1655,Haye gussa aa gaya video dekh kar,H
1656,Mashallah sahi kaha tumne bhai,O
1657,Bhai perfect explanation bro,O
1658,Mashallah gussa aa agya video dekh!! kar bro,H
1659,Aray bakawas baatein mat kar,H
1660,Yaar tumhara style alag haii :),O
1661,Yaar tumhaaaara attitude pasand nhai aaya yaar,H
1662,Mashallah maza aagaya!! dekh kar yaar,O
1663,MASHALLAH BADTAMEEZ AADMI BRO bro,H
1664,Mashallah very helpful bro nice,O
1665,Aray bakwas vidiyo bhai,H
1666,Haye bakwaas baatein mat kar bro,H
1667,Bhai nice presentation yaar,O
1668,tumhara!! sense of humor best hai yaar haha,O
1669,YAAR EXCELLENT WORK BRO YAAR,O
1670,Yaar dimagh ka pressure bdaha diya video ne bhai,H
1671,Bhai perfect explanation,O
1672,Bhai ye sab :) anfrat failata hai :) yaar,H
1673,Aray bhaiy! tuu kuch nahin jaanta bhai ok,H
1674,Mashallah kuch seekh le! pehle!! bhai,H
1675,Bhai bhaiy tu kuch nai jaanta,H
1676,koi sense nai hy video mein bhai,H
1677,Mashallah yaar tum bohot funny hai bro,O
1678,Aray keep!!! it up bro,O
1679,Mashallah simple aur samajhne layak vidiyo :),O
1680,Yaar koi sense nai haii!!! video mein :) nice,H
1681,GUSSA :P AA GAYA VIDIYO DEKH KAR BRO lol,H
1682,Aray tera :) content bakwas hai bhai,H
1683,Haye keep! it up bro,O
1684,Haye naiis presentation bhai haha,O
1685,boht useful tips di :),O
1686,Aray dimagh ka :) dahi kar diya yaar,H
1687,Mashallah respect for your hard work :) haha,O
1688,tu toh drama queen nikla yaar,H
1689,Aray ganday jkoes mat maar yaar,H
1690,Bhai faltu time waste yaar,H
1691,Mashallah dimgah ka pressure badha diya video ne bhai,H
1692,Aray positive vibes only,O
1693,Aray tere comments irritate karte :) hain :),H
1694,Mashallah jhoot bolta :P haii tum yaar lol,H
1695,Haye tumhara attitude pasand nai aaya :) yaar,H
1696,Bhai well explained :),O
1697,Bhai awesome creativity :),O
1698,Aray good initiative :),O
1699,Bhai kuch :P bhi bol deta hai tu :),H
1700,Haye bakwaas baatein mat kar bhai,H
1701,Haye ganday jokes mat maar bhai,H
1702,Aray tera content!!! bakwas hai,H
1703,Haye best one on :) this topic yaar,O
1704,Mashallah veri helpful bro,O
1705,Aray tumhara kontent inspire karta hai :),O
1706,Haye yaar tum talented ho bro bro,O
1707,veri helpful,O
1708,tere comments irritate karte hain yaar,H
1709,Bhai great job bro :),O
1710,Aray koi sense nahi hy video mein yaar lol,H
1711,Haye bakwas editing :),H
1712,bohat informative vidiyo hy yaar haha,O
1713,Haye kamal ka effrot :) hey,O
1714,ajeeb bekaar banda hai :) ok,H
1715,Haye tu!! pagal hai :P kia bhai,H
1716,Aray tujhe sharam nahi aati yaar nice,H
1717,Bhai lajawab explanation lol,O
1718,Yaar nalayak banda bro,H
1719,Mashallah kya faltu inasn hy :),H
1720,Aray ye kya bakwas logic haii bhai,H
1721,Haye kuch bhi bol deta hy tu yaar lol,H
1722,tera kontent bakwas hai,H
1723,Yaar tumhara content inspire karta hai bro,O
1724,Aray great job bro lol,O
1725,Yaar keaa faltu insan hai,H
1726,boht useful tips di :),O
1727,Yaar dimagh ka!! dahi kar diya bhai nice,H
1728,Mashallah lajawab :P explanation bro,O
1729,Aray great job bro bro,O
1730,bilkul!! useless vidiyo :),H
1731,Yaar nalayak banda,H
1732,Mashallah great!! energy! bro :P,O
1733,Aray wow kya baat hai,O
1734,Haye tu toh :P pure :P time waste hey :),H
1735,Yaar bakwaas baatein mat kar yaar,H
1736,nice try :),O
1737,Mashallah achaa laga dekh kar yaar,O
1738,MASHALLAH BOHT USEFUL TIPS!! DI YAAR,O
1739,Aray appreciate your effort bhai,O
1740,Haye bro tum kuch nahi jaanta :),H
1741,perfect explanation bro,O
1742,tu :) pagal haii keaa bhai haha,H
1743,ZYADA SMART MAT BAN!!! YAAR,H
1744,nice tutorial yaar,O
1745,wow kya baat haii nice,O
1746,Yaar proud of you bro :) bhai,O
1747,Yaar ghatiya quality bhai,H
1748,Aray helpful for beginners yaar ok,O
1749,Mashallah proud of you broooo :),O
1750,Mashallah wow kya baat hai bhai,O
1751,Aray perfect explanation bhai,O
1752,Aray pagal insaan yaar,H
1753,Haye ye kia bakwas!!! logic hai yaar lol,H
1754,Haye tum pagal hy :) kya!!! :),H
1755,boht accha :) content hey bhai,O
1756,Mashallah awesome creativity bro,O
1757,Mashallah great job bro!!! yaar,O
1758,tum pagal hey kyaa yaar,H
1759,Aray faltu! video banai hai bro,H
1760,Mashallah suuperb yaar,O
1761,Aray tumhara reply acha laga,O
1762,Haye kyaa :P faltu! insan hai!! :),H
1763,Bhai faltu :) harkatein band kar!!! yaar,H
1764,positive vibes!!! only :),O
1765,Yaar sahi :P kaha tumne bro,O
1766,Haye faltu content upload karte rehta hey :),H
1767,Yaar bohat informative vidiyo hey nice,O
1768,Aray superb yaar :) yaar,O
1769,Haye good luck for :) next project bhai,O
1770,BHAI BEST ONE ON!! THIS TOPIC :),O
1771,Mashallah dimagh ka dahi kar diya yaar,H
1772,ARAY TUMHARA CONETNT INSPIRE KARTA HAII :),O
1773,Mashallah bro bahot achaa vidio hai yaar,O
1774,Mashallah nais tuotrial bhai nice,O
1775,Aray sahi kaaaha tumne :),O
1776,Haye tere jaise!! log sab bigad dete hain,H
1777,Mashallah dimagh ka!! daih :) kar diya :) ok,H
1778,Aray superb yaar,O
1779,Aray tumhara style alag hey,O
1780,Bhai ye sab jhoot hai bhai,H
1781,Mashallah gussa aa gaya vidio dekh kar,H
1782,Yaar maza aagaya dekh kar :),O
1783,Aray nice message diya :),O
1784,bilkul useless video :) bro,H
1785,Yaar bohat informative video!! hai,O
1786,Haye bakwas video!! bhai,H
1787,Aray ye :P sab jhoot :) hai,H
1788,Mashallah tere jaise log saaaab biagd dete hain bro nice,H
1789,Yaar tujhe sharam nahin aati :) nice,H
1790,Haye keep it up :),O
1791,Haye tumh!! jaies log hamesha! problem banate :) hain :),H
1792,well done bro,O
1793,HAYE YE SAB FALTU CONTENT :P HAII,H
1794,bakwaas :) baatein mat kar :) bhai,H
1795,Haye pagal sa :) behaviour dikha raha hai yaar,H
1796,bohat mehnat ki hai yaar lol,O
1797,MASHALLAH ITNA :) OVERACTING KYU KARTA HAI BRO nice,H
1798,Yaar tumhara kontent inspire karta hai :) bhai,O
1799,Mashallah shukriya shaer karne ke liye bhai,O
1800,badtameez aadmi :) bro,H
1801,Yaar boht acha content hai :),O
1802,Bhai bohat mehnat!! ki haii bro,O
1803,Mashallah bhaiy tuu kuch nahi jaanta,H
1804,Yaar best one on this topic,O
1805,ARAY EXCELLENT WORK :P BRO :),O
1806,Haye kuch :) seekh le pehle yaar,H
1807,Haye respect for!! your!! ahrd work,O
1808,Bhai zyada! smart mat ban yaar,H
1809,Haye tere comments!! irritate!!! karte ahin :),H
1810,Aray great energy bro bhai,O
1811,Yaar positive vibes only :),O
1812,Bhai dimagh kharab kar dia :),H
1813,Yaar tumeh jaise logon ki wajah se internet! kharab hey yaar,H
1814,Aray keep it up,O
1815,Haye tera content bakwsa hai bro,H
1816,very clean editing bro,O
1817,Mashallah pruod!! of you bro yaar,O
1818,Haye keep posting,O
1819,Haye faltu content upload karte rehta hai yaar lol,H
1820,Yaar very clean editing :) :),O
1821,nais message :) diya yaar ok,O
1822,best one on this topic :) bhai,O
1823,Haye gussa!! aa gaya video dekh kar yaar,H
1824,Yaar mujhe ye vidiyo pasand aaya!!,O
1825,Bhai tumhara style!!! alag hai :) :),O
1826,YAAR TU PAGAL HEY!! KYA,H
1827,Bhai dimagh kharab kar dia yaar,H
1828,Mashallah ye sab nafrat failata hai :) lol,H
1829,Mashallah kuch seekh le pehleee :) bro,H
1830,Bhai kya faltu insan haii yaar,H
1831,Mashallah appreciate your effort! yaar lol,O
1832,Mashallah very clean editing bhai,O
1833,Aray tu sirf views ke liye kar raha hy :),H
1834,Aray yaar!! tum!!! talented ho,O
1835,well done,O
1836,YAAR YE! KYAA BAKWAS LOGIC HEY! :),H
1837,Haye boht acha content hey bhai,O
1838,Yaar tumhara! attitude :) pasand nahi aaya!!!,H
1839,Bhai simple aur samajhne layak :) video bro,O
1840,Bhai yaar tu :) boht!!! funny hy yaar,O
1841,Mashallah tu samjhta kya hey apne aap ko :),H
1842,MASHALLAH CLEAR AUR :) EASY STEPS YAAR,O
1843,Haye tumhara reply achaa laga bhai,O
1844,Haye good! information di bhai,O
1845,Aray pagal insaan :),H
1846,Haye well done haha,O
1847,Haye helpful for beginners bro,O
1848,Mashallah excellent work bro :),O
1849,tera content bakwas hy,H
1850,cool :) vidio bro,O
1851,respect for :) your hard work bhai,O
1852,Haye veri helpful :P :),O
1853,Bhai lajawab explanation :),O
1854,BHAI FALTU HARKATEIN BAND KAR :),H
1855,Haye tujhe sharam nahin aati :),H
1856,Bhai sahi kaha tumne bro,O
1857,Bhai tere jaise log! saaab bigad dete hain bro,H
1858,BHAI TUMHARA CONTENT UNIQUE HAI :),O
1859,Haye badtameez aadmi,H
1860,Aray kuch seekh :) le pehle bro,H
1861,Yaar maza aagaya dekh kar :),O
1862,HAYE ITNA OVERACTING KYU KARTA HEY BRO,H
1863,Haye lajawab explanation :),O
1864,HAYE KEEP POSTING :) nice,O
1865,Bhai tu pagal hai kia,H
1866,Aray well done yaar,O
1867,Haye ganday jokes mat maar bro,H
1868,Yaar good luck for next project bro,O
1869,Yaar sahi kaha tumne!!!,O
1870,Aray tumhara sense of humor best hai bhai,O
1871,Mashallah boht acha content hy,O
1872,wow keaa :P baat!!! hai :),O
1873,Aray tumhaaara reply acha laga :) haha,O
1874,Aray tu samjhta keaa hy apne aap ko yaar,H
1875,Mashallah best one :P on this topic :),O
1876,Aray gussa aa gaya video dekh kar!!! :),H
1877,ARAY TUMHARA KONTENT INSPIRE! KARTA HY,O
1878,Bhai dil khush kar diya bhai,O
1879,Haye tumhara sense of :) humor!!! best hy :),O
1880,Mashallah kuch seekh :P le :P pehle!! bhai,H
1881,Aray nalayak banda,H
1882,Aray bro bohot achaa video hey yaar,O
1883,Mashallah yaar tu bohut funny hy bro,O
1884,Aray faltu harkatein band kar yaar,H
1885,Haye maza aagaya dekh kar bhai,O
1886,Mashallah helpful for beginners bhai bro,O
1887,Aray bakwaas :) baatein mat kar :) yaar,H
1888,Aray awesome creativity,O
1889,MASHALLAH ZYADA SMART MAT BAN YAAR,H
1890,nalayak banda yaar,H
1891,HAYE SHUKRIYA!! SHARE KARNE KE LIYE YAAR,O
1892,Bhai awesome creativity bro,O
1893,keaa faltu isnan hey!!!,H
1894,Bhai kya faltu insan hy bhai nice,H
1895,great :) energy bro bhai,O
1896,Mashallah very clean editing bro lol,O
1897,Yaar tere comments irriatte karte hain :P bhai,H
1898,Mashallah awesome creativity yaar,O
1899,Mashallah bhai tu kuch nai jaanta!! bro ok,H
1900,Mashallah tu samjhta kya hai apne aap ko bhai,H
1901,Yaar tuu toh drama queen nikla!!! bro,H
1902,tum jaise logon ki wajah se internet kharab hai,H
1903,tumhara :) content unique hai yaar,O
1904,tumhara reply acha laga :),O
1905,Haye good information di bro,O
1906,Mashallah kyaa faltu insan haiii bro,H
1907,Haye kya faltu insan hai bro,H
1908,Aray inta overacting kyu :) karta :) haii!!! yaar,H
1909,Mashallah lajawab explanation :),O
1910,itna irritating content bhai,H
1911,Bhai excellent work :) bro :),O
1912,HAYE VERI CLEAN EDITING :),O
1913,Aray gussa aa gaya video dekh kar :) bro nice,H
1914,Haye gussa aa gaya!! video dekh!! kar,H
1915,Yaar bhaiy tuu kuch :) nai ajanta :) :) bro,H
1916,nice presentation bro,O
1917,Yaar badtameez aadmi :P bro bro,H
1918,Yaar koi sense nahi hai vidiyo mein bhai,H
1919,Aray pagal sa behaviour dikha raha hy,H
